range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,41.6800817167192,88.9317656264026,0.291514869925686,5.53878252858804,0.713369761579352,0.828226745494522,121.622019645175,2310.81837325833
30,44.4885865279279,24.1436279303091,0.425575981066098,8.7790908208158,0.717844395291005,0.290830138752468,261.37261032578,4966.77274337038
40,45.9961351657563,14.4700333551544,0.485887456203262,10.3304739565301,0.720760921218493,0.215352879111836,392.429156564691,7457.25258701781
50,47.3853918068649,11.2225957333075,0.563206691769109,12.087221504733,0.722492638718708,0.182025439932639,490.651490406968,9323.76461209352
60,49.5588169753378,11.4498338652399,0.843507263484883,17.6360759186469,0.724026026120256,0.167041910564154,601.905459192629,11437.8131625724
70,57.5415660187395,19.0105515692486,2.47074198753426,48.7358572323791,0.726433259751484,0.169637372581411,820.593146794626,15593.0615485671
80,58.6542384945704,16.4040344406561,2.52183266007883,49.860730690553,0.727480590692205,0.160921768422022,921.757540269038,17515.3391752608
90,58.7281588651866,14.5500087178645,2.52245834161924,50.0061500324453,0.728369910089639,0.154398481098208,1018.95029733791,19362.135090962
100,58.7738368858549,13.0420649776397,2.52269445410646,50.1284192053589,0.72978360415237,0.154416124518717,1190.03886879671,22612.9357317149
110,57.3509415351364,12.1962088489559,2.86062049225046,56.6543744457528,0.730809829883625,0.152057353400994,1320.46792069125,25091.1930782267
120,57.9119002779005,11.4868218372428,2.9180362946903,57.8405848719142,0.731351036601099,0.147354804376649,1397.26245612699,26550.3845616856
130,57.0952951934221,10.624181742318,3.04538522513541,60.3472259273609,0.732048047900765,0.144780665066028,1500.66839476444,28515.1844071741
140,57.7621295611869,10.1871356909217,3.135852717052,62.1461509814495,0.732178742073436,0.138772043193451,1519.02167399362,28863.9767552362
150,58.2883534323258,9.92963496288272,3.25069015709765,64.4021703144706,0.733812940736769,0.14417095579818,1788.72615007772,33988.4359088064
160,56.9820776572203,10.8874023180104,4.57916549124195,89.7121945346993,0.73403812993024,0.13974621338589,1822.89801673795,34637.7703682221
170,57.0013745372051,10.4896492990292,4.58359014931573,89.8608015592387,0.734490509361563,0.137495134755526,1902.05299997988,36141.7795883399
180,62.4251722722174,14.1900069020406,7.68889401576705,148.92219964363,0.739524009133961,0.162112175073315,2823.11971827191,53642.1078605104
190,62.436426955135,13.7222246547725,7.68942330605657,148.989414572971,0.741347215783232,0.166064767985546,3157.99414639785,60004.7791533171
200,62.4327775884906,13.2807627022412,7.68945379357051,149.044061057006,0.742016215172515,0.164204501527884,3281.77654295898,62356.6987551998
