range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,79.3381169559726,146.066059144463,3.55596576035355,67.5633494467174,0.756819673962913,1.9901071696541,11061.5302103261,210169.073996196
30,85.79954448512,46.6594986983907,6.73180605345018,128.597462196113,0.771897062785416,0.621119735393482,18737.715404394,356017.285830666
40,89.5735142902376,31.1958506967913,8.6709707963211,165.847057418769,0.776393606463267,0.407506479359464,22068.0905547772,419294.819153056
50,95.5122610723597,29.3104400693944,13.2270992307404,252.701179745187,0.780941628939251,0.337881392979646,26503.5114782811,503568.104381702
60,98.9163891788165,26.3756182762632,15.7055534830409,300.01495409021,0.784279057319352,0.300635853463776,30526.2967023738,580001.246783014
70,101.785571147092,24.5221188112993,17.9733109708776,343.284667915902,0.786327398481957,0.273680521325174,33451.7771185866,635585.557012614
80,103.845586609001,22.7649503548822,19.4932248026414,372.317181399243,0.788981346604964,0.260567362929846,37802.3620887334,718246.825596084
90,105.481928056849,21.4340600948622,20.8083568941124,397.438222529816,0.79042360932351,0.246117195262168,40480.3219212839,769128.195945936
100,106.07496452582,19.8351545320566,21.1114414076654,403.314611322979,0.791174662118762,0.231985188114682,42017.7227769035,798338.929985744
110,106.614601002598,18.5317831001342,21.383657530212,408.592078167022,0.791936039361062,0.221231055468838,43735.8248252235,830982.97426434
120,106.948770742605,17.4530021247525,21.5542538588587,411.928718591113,0.792224533188123,0.210050961070813,44435.2551554599,844272.24584901
130,107.834106145535,17.1400031793372,22.8710456653978,437.034774292346,0.792500622298733,0.200761954848208,45176.9596638108,858364.718519056
140,107.835861571601,16.2802543707143,22.8710607704982,437.115103996927,0.792547948594085,0.191517730931676,45300.1992184515,860706.350099937
150,107.740283628665,15.6517645056534,23.1893000483744,443.23575824873,0.79255109144386,0.183235573931678,45307.7742868208,860850.350506925
160,107.719364413164,15.0253811171569,23.2128391913733,443.751994837194,0.792554393544424,0.175940807685146,45317.5410905871,861035.988771356
170,107.714372450656,14.4724106764788,23.2272630952,444.09058753104,0.792556449627308,0.169443743852174,45324.1162783743,861160.981877834
180,107.657787883233,14.0256545208393,23.4542338179034,448.46365588422,0.792560465684325,0.163625131224846,45336.6631308669,861399.432699814
190,107.598758541418,13.643482710256,23.7524607253602,454.18712553974,0.792561602002883,0.158350496710691,45339.9097457762,861461.175541505
200,999.999997911664,567.775547082198,665.035648907798,12638.6217682273,0.792605369658836,0.153874563331091,45531.2801837357,865097.267929958
