range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,58.1831320359315,41.8676810039445,0.144413780524655,2.74386182996844,0.759642810712903,2.10962540741977,2124.96908502474,40374.41261547
30,67.2312119045381,41.9478164333397,2.34683455489651,45.2830037235937,0.782257685097513,0.70052289409162,4069.65684691687,77324.1732386011
40,67.5440964776949,23.1425051156509,2.35327079857443,45.8107574615823,0.789278209334376,0.466470934672271,4932.18445505914,93712.6032584124
50,67.9900282636014,16.6371850109471,2.37618390568577,46.5337885691496,0.795916703243674,0.389560969886598,6002.29636479014,114045.017225374
60,68.822721246287,13.9535072741476,2.52242004941139,49.5354188512504,0.798914275709796,0.338401413019879,6591.40609900688,125238.325319043
70,70.5833985056285,13.6165686613175,3.15396519621214,61.7170981972586,0.801765225832055,0.309173373982149,7271.24985772309,138155.539056208
80,72.4237817404854,13.4953713758329,3.83290883518072,74.771178017489,0.804016841178741,0.288316790425031,7885.73589841266,149830.92797999
90,72.6725680349551,12.1756779625187,3.85774077319417,75.376516232369,0.805046885156987,0.268189752375397,8192.64573552203,155662.34841646
100,73.8309729217427,11.9544993186515,4.31752297766053,84.2301611528862,0.805724311122582,0.251456998443181,8414.95925528034,159886.423074904
110,75.4390823802436,12.6248643774013,5.33327420796904,103.634795044406,0.80620905093521,0.237431017635148,8588.9608267927,163192.558294154
120,76.9628715630257,13.262224720617,6.40411549866182,124.076089747373,0.806558404112595,0.22542818688614,8725.58916967757,165788.592119147
130,78.9046168185603,14.1276162991927,7.74145960218789,149.572639091358,0.806941999696214,0.215640280549428,8885.38085271318,168824.7211082
140,85.0197962625277,19.8111834309781,14.0538686749132,269.588454180812,0.807480966665975,0.208342068178966,9135.00307051925,173567.623289223
150,85.0197962625277,19.8111834309781,14.0538686749132,269.662562152965,0.807480966665975,0.208342068178966,9135.00307051925,173567.697397195
160,85.0197962625277,19.8111834309781,14.0538686749132,269.731555024452,0.807480966665975,0.208342068178966,9135.00307051925,173567.766390067
170,85.0197962625277,19.8111834309781,14.0538686749132,269.79609354559,0.807480966665975,0.208342068178966,9135.00307051925,173567.830928588
180,85.0197962625277,19.8111834309781,14.0538686749132,269.856718167406,0.807480966665975,0.208342068178966,9135.00307051925,173567.89155321
190,85.0197962625277,19.8111834309781,14.0538686749132,269.913876581246,0.807480966665975,0.208342068178966,9135.00307051925,173567.948711624
200,85.0197962625277,19.8111834309781,14.0538686749132,269.967943802517,0.807480966665975,0.208342068178966,9135.00307051925,173568.002778845
