range,cos lp,lp err,cos ko,ko err,cos gof,cos BIC,r2 lp,lp err,r2 ko,ko err,r2gof,r2 BIC
30,64.6036177237938,252.226548563167,3.94419685734113e-07,3533.57304464245,0.786100844588046,15.5361095637047,0.769621792895207,61.8799329243545,2.76486486821437e-06,7664055.63732253,3615.63652657366,65082.843772687
40,66.7850305889576,59.9804761127858,2.3570887221528e-07,1026.54975024108,1.02319954643365,20.6148164131418,0.780978477921109,0.464410975960711,4.36405276036449e-10,NaN,5109.60998718404,91975.1769938901
50,66.4097670404424,10.8921519773108,5.6950344157979e-12,NaN,1.04181060050766,21.5251795313776,0.785817746922261,10.3131580231066,5.04289203167445e-05,66255.7095151105,5919.63897669526,106556.274169237
60,68.3356555213254,29.2165231484939,7.86881626517133e-08,1050.71783536088,1.62620341130178,32.4905372283002,0.788739647091665,8.06128244889763,2.46518586244466e-06,1045704.59345757,6536.06431707078,117652.376583099
70,69.4392635084202,24.6170555510172,6.50685648413289e-08,912.611008302746,1.87695295114296,37.3686720590294,0.791047755089954,6.88937515420948,2.29787630512344e-06,948995.357283978,7106.51952209892,127920.934916719
80,71.098145742451,10.6132761242292,7.54507475803317e-09,NaN,2.44823294870108,47.9600133747301,0.792838662137812,6.12504822926777,2.51881976033717e-06,768008.724226542,7611.55120430294,137011.813497751
90,72.9576289311797,23.4823758260856,7.44989037352837e-08,554.004577217802,3.17816227828631,61.3658040925132,0.794286533797677,5.61650385133742,3.22390205172297e-06,547751.132893446,8074.8809003563,145352.015089497
100,73.6532558484851,21.4964437948768,7.48031180427222e-08,462.869977623936,3.35149667247012,64.7213892591346,0.795101743886404,5.20507582759978,3.34989143337709e-06,486716.251905166,8352.27769840167,150345.393020385
110,75.2803502137607,22.2434998514379,6.25318739270462e-08,497.844339913551,4.23543614295046,80.8430207590964,0.795747706247555,4.86452691879921,6.82205199091492e-05,22317.3137772576,8599.72212504345,154799.603420968
120,76.6749849479509,23.0260734872024,4.96055306335811e-08,575.87529531306,5.17008677221468,97.8573524454609,0.796095181976005,4.57580533961746,6.87174140389573e-05,20815.0338962672,8740.56249862787,157334.920765847
130,78.0018756946395,23.5452244329878,3.63158038946119e-08,702.781262284203,6.07573386805988,114.333022924654,0.796374681595885,0.210601607588002,3.32959822531176e-09,NaN,8869.17233310183,159650.071809132
140,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,253.473881273247,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.216690369
150,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,253.622097217554,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.364906313
160,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,253.760082960528,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.502892056
170,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,253.889160002803,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.631969098
180,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,254.010409246436,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.753218342
190,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,254.124726074116,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.867535169
200,84.930680902231,19.4946068029361,4.42367045586628e-14,NaN,13.7968879199069,254.232860516657,0.796721707486676,0.202587982363537,4.83960409193206e-09,NaN,9040.61593286965,162736.975669612
