range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,73.6644471217123,121.805009742014,0.716586574806349,13.6151449213206,0.733946887738328,1.19220686063632,2815.40259565314,53492.6493174096
30,71.2020289156625,32.5990729579718,1.15365405367737,22.6125742004301,0.735985285380033,0.321300053731484,3564.9787299194,67735.2890156492
40,67.7787007262635,23.2757338278173,2.2164872507109,43.2118700521752,0.737053953889367,0.208790750276794,4125.52892397568,78386.1481678266
50,65.5055034083687,18.9509728125765,3.1810825375381,61.8268625743437,0.737527296252556,0.163550171168799,4433.23176293249,84232.7897900785
60,64.0627039595378,15.8136944462108,3.75738122932777,72.9996812696618,0.737814638905079,0.138880481347271,4660.60054288731,88553.0197527713
70,62.6570568413519,14.9380786119356,4.98758943173314,96.5559586721577,0.737953964867841,0.122259766645661,4782.89312994905,90876.7612285012
80,61.9100218000387,13.7772587206477,5.65006639448273,109.297171644227,0.738027234621729,0.110192500947509,4853.58850929976,92220.1275868444
90,61.5736071345879,12.523703852678,5.82075766678336,112.673837210564,0.738077951672795,0.101120115932647,4911.48046873955,93320.2083475931
100,61.3252848830788,11.4954653766187,5.9175950897263,114.631531282136,0.73814005808706,0.09428852709572,4991.82896357631,94846.9475325273
110,60.8113550816418,10.9893056016984,6.46816868040764,125.197790020739,0.738170711887793,0.0884656254209502,5032.67019860438,95623.0363585762
120,60.5281170904535,10.4703911444818,6.78024256155404,131.222503942325,0.738182830430678,0.083454423308273,5048.7820844628,95929.257500066
130,60.4757913369713,9.86685064652031,6.78877636488712,131.471657582643,0.738198676112059,0.0792942655700986,5073.97560849791,96408.0214681101
140,60.4757913369713,9.86685064652031,6.78877636488712,131.551700290317,0.738198676112059,0.0792942655700986,5073.97560849791,96408.1015108178
150,60.4757913369713,9.86685064652031,6.78877636488712,131.62580826247,0.738198676112059,0.0792942655700986,5073.97560849791,96408.17561879
160,60.4757913369713,9.86685064652031,6.78877636488712,131.694801133957,0.738198676112059,0.0792942655700986,5073.97560849791,96408.2446116615
170,60.4757913369713,9.86685064652031,6.78877636488712,131.759339655095,0.738198676112059,0.0792942655700986,5073.97560849791,96408.3091501826
180,60.4757913369713,9.86685064652031,6.78877636488712,131.819964276911,0.738198676112059,0.0792942655700986,5073.97560849791,96408.3697748044
190,60.4757913369713,9.86685064652031,6.78877636488712,131.877122690751,0.738198676112059,0.0792942655700986,5073.97560849791,96408.4269332182
200,60.4757913369713,9.86685064652031,6.78877636488712,131.931189912022,0.738198676112059,0.0792942655700986,5073.97560849791,96408.4810004395
