range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,196.116201730073,161.879784905598,0.124453028496153,2.36460754142692,0.739618626035056,1.10474540947053,9716.0334587019,184604.635715336
30,191.380737030254,49.1770188060004,0.25574438911638,5.55229057377116,0.744067190438765,0.348570856019897,16849.2247443785,320135.963290372
40,185.017105289602,48.2428953761131,0.831861413618909,16.9039791474274,0.745029148773919,0.22408286299759,19082.4253281706,362567.17984753
50,180.538116284618,41.4038209078987,1.25689153379726,25.2672335032679,0.745424671722766,0.174592236428339,20287.7870414451,385469.340081818
60,177.554842300313,35.5796885802864,1.52006734256979,30.4907174212602,0.745681549724961,0.1480237406585,21261.2899194489,403966.117907442
70,172.697668926779,36.5679596887263,2.47225943709631,48.7646887740579,0.745870428251024,0.13114861574662,22100.2134515666,419905.847339235
80,169.820326549248,33.1746523220374,2.83765429552244,55.8613417639817,0.746023258298327,0.119453409579286,22901.8087793801,435136.312718371
90,167.089229520055,32.1448600094877,3.49430217280605,68.4711828249948,0.746098579354384,0.110009625931571,23340.0549414229,443463.123328577
100,164.396425601618,31.4867027525107,4.26731366204333,83.2761841561595,0.746170374469161,0.102746314386255,23799.7618038344,452197.671497431
110,162.325614021594,29.1357998963959,4.56420737662248,89.0225252488211,0.746261254971755,0.0973297827133631,24457.6319936008,464697.310463508
120,160.394139336693,27.8222203194026,5.02601293567852,97.8921410506903,0.746295507341218,0.0921639173201809,24721.4577861368,469710.095831873
130,158.491519462938,27.5003439917039,5.80228429575079,112.728308269053,0.746313749880447,0.0876135140762477,24869.6708404777,472526.230875726
140,156.700032534087,27.5904433779151,6.79029836964613,131.580618380738,0.746325753355095,0.083635992516074,24972.132608091,474473.084503087
150,154.815297407519,28.2936100429213,8.23695516679978,159.141205498811,0.746334222855266,0.0801345082354008,25048.2329604692,475919.065306245
160,153.68314620421,27.4112054542651,8.70897839996352,168.178639800409,0.746342050914372,0.0770557761612659,25126.1777138958,477400.084614222
170,151.883126372623,26.9645286158362,9.62908429754265,185.72519037555,0.746353478030835,0.0743805781675748,25245.0518935922,479658.758566973
180,149.81628041149,26.9824855540759,11.0264156927964,212.335111507187,0.746360403658563,0.0719183310578732,25316.6577593196,481019.330640417
190,147.308977454621,28.4324943820317,14.0528907502306,269.895296012278,0.746364377488197,0.0696537655028823,25357.5572520748,481796.478161179
200,145.250346225555,28.1756864343426,15.6651130907837,300.581587704056,0.746370566976385,0.0676387713724818,25430.7723550687,483187.619185285
